timesteps,Zambia
2005-01-01 00:00:00,9.232554694049697e-08
2005-01-01 01:00:00,9.232750974751598e-08
2005-01-01 02:00:00,9.233033783066054e-08
2005-01-01 03:00:00,9.233374326498239e-08
2005-01-01 04:00:00,9.233743796922217e-08
2005-01-01 05:00:00,9.234343572008896e-08
2005-01-01 06:00:00,9.234943577805099e-08
2005-01-01 07:00:00,9.235543814543846e-08
2005-01-01 08:00:00,9.236144282458514e-08
2005-01-01 09:00:00,9.236744981782813e-08
2005-01-01 10:00:00,9.237345912750816e-08
2005-01-01 11:00:00,9.237947075596912e-08
2005-01-01 12:00:00,9.238548470555854e-08
2005-01-01 13:00:00,9.239150097862736e-08
2005-01-01 14:00:00,9.23975195775298e-08
2005-01-01 15:00:00,9.240354050462362e-08
2005-01-01 16:00:00,9.240956376227004e-08
2005-01-01 17:00:00,9.241558935283356e-08
2005-01-01 18:00:00,9.242161727868222e-08
2005-01-01 19:00:00,9.242764754218749e-08
2005-01-01 20:00:00,9.24336801457242e-08
2005-01-01 21:00:00,9.243971509167079e-08
2005-01-01 22:00:00,9.244575238240904e-08
2005-01-01 23:00:00,9.245063713525318e-08
2005-01-02 00:00:00,9.245523315013904e-08
2005-01-02 01:00:00,9.245721729482545e-08
2005-01-02 02:00:00,9.246007290648589e-08
2005-01-02 03:00:00,9.246351000802383e-08
2005-01-02 04:00:00,9.246723846236784e-08
2005-01-02 05:00:00,9.247328646590985e-08
2005-01-02 06:00:00,9.247933682755089e-08
2005-01-02 07:00:00,9.248538954969559e-08
2005-01-02 08:00:00,9.249144463475214e-08
2005-01-02 09:00:00,9.249750208513215e-08
2005-01-02 10:00:00,9.25035619032509e-08
2005-01-02 11:00:00,9.2509624091527e-08
2005-01-02 12:00:00,9.251568865238283e-08
2005-01-02 13:00:00,9.252175558824414e-08
2005-01-02 14:00:00,9.252782490154028e-08
2005-01-02 15:00:00,9.253389659470415e-08
2005-01-02 16:00:00,9.253997067017226e-08
2005-01-02 17:00:00,9.254604713038463e-08
2005-01-02 18:00:00,9.255212597778491e-08
2005-01-02 19:00:00,9.255820721482024e-08
2005-01-02 20:00:00,9.256429084394152e-08
2005-01-02 21:00:00,9.257037686760303e-08
2005-01-02 22:00:00,9.257646528826286e-08
2005-01-02 23:00:00,9.258139285380932e-08
2005-01-03 00:00:00,9.258189629299473e-08
2005-01-03 01:00:00,9.258607103902754e-08
2005-01-03 02:00:00,9.258657487483851e-08
2005-01-03 03:00:00,9.258928196442791e-08
2005-01-03 04:00:00,9.259321396056139e-08
2005-01-03 05:00:00,9.259886168537803e-08
2005-01-03 06:00:00,9.260496134579047e-08
2005-01-03 07:00:00,9.261106341723416e-08
2005-01-03 08:00:00,9.261716790219149e-08
2005-01-03 09:00:00,9.262327480314827e-08
2005-01-03 10:00:00,9.262938412259398e-08
2005-01-03 11:00:00,9.263549586302196e-08
2005-01-03 12:00:00,9.264161002692906e-08
2005-01-03 13:00:00,9.264772661681586e-08
2005-01-03 14:00:00,9.265384563518664e-08
2005-01-03 15:00:00,9.265996708454937e-08
2005-01-03 16:00:00,9.266609096741578e-08
2005-01-03 17:00:00,9.267221728630123e-08
2005-01-03 18:00:00,9.267834604372486e-08
2005-01-03 19:00:00,9.26844772422096e-08
2005-01-03 20:00:00,9.269061088428188e-08
2005-01-03 21:00:00,9.269674697247217e-08
2005-01-03 22:00:00,9.26972602501151e-08
2005-01-03 23:00:00,9.27002367014769e-08
2005-01-04 00:00:00,9.270075027888299e-08
2005-01-04 01:00:00,9.270495948624749e-08
2005-01-04 02:00:00,9.270547346944552e-08
2005-01-04 03:00:00,9.270820531117284e-08
2005-01-04 04:00:00,9.271217019149735e-08
2005-01-04 05:00:00,9.2717862202059e-08
2005-01-04 06:00:00,9.272400917845867e-08
